,application_number,orig_funding_request,cmtd_funding_request,consulting_firms_name,consulting_firms_email,applicant_type,applicant_city,applicant_state,cmtd_discount,service_type,function,funding_gap
178,170051302,94716,94716,Csm Consulting Inc.,kfriends@csmcentral.com,School District,CLOVIS,CA,60,Basic Maintenance Of Internal Connections,Wireless Controller,0
179,170050250,32685,32685,Merced County Office Of Education,erate@mcoe.org,School District,WINTON,CA,90,Internal Connections,Switches,0
180,170060899,90933,90933,Csm Consulting Inc.,kfriends@csmcentral.com,School District,LANCASTER,CA,85,Basic Maintenance Of Internal Connections,Racks,0
181,170074621,28756,28756,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN FRANCISCO,CA,80,Internal Connections,"Antennas, Connectors, And Related Components",0
182,170052336,9828,0,Csm Consulting Inc.,kfriends@csmcentral.com,School District,WHITTIER,CA,85,Internal Connections,Wap,9828
183,170064914,34564,34564,Csm Consulting Inc.,kfriends@csmcentral.com,School District,STOCKTON,CA,85,Basic Maintenance Of Internal Connections,"Antennas, Connectors, And Related Components",0
184,170060899,76800,76800,Csm Consulting Inc.,kfriends@csmcentral.com,School District,LANCASTER,CA,85,Internal Connections,Router,0
185,170066253,4035,0,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN JUAN CAPO,CA,50,Basic Maintenance Of Internal Connections,Switches,4035
186,170064063,10146,10146,"Nvls Professional Services, Llc",nancyvls@nvls-erate.com,School District,SAN DIEGO,CA,80,Internet Access And/Or Telecommunications,Transport Only - No Isp Service Included,0
187,170064063,7648,7648,"Nvls Professional Services, Llc",nancyvls@nvls-erate.com,School District,SAN DIEGO,CA,80,Basic Maintenance Of Internal Connections,Router,0
188,170054220,299374,102407,Mattison Enterprises,loy@surewest.net,School District,SACRAMENTO,CA,80,Internal Connections,Racks,196967
189,170061576,28876,28876,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Basic Maintenance Of Internal Connections,Cabling,0
190,170049302,2419,2419,E-Rate Online Llc,msagnella@erateportal.com,School District,CERES,CA,85,Basic Maintenance Of Internal Connections,Cabling,0
191,170065593,14620,0,Funds For Learning,jharrington@fundsforlearning.com,School District,OAKLAND,CA,85,Basic Maintenance Of Internal Connections,Cabling,14620
192,170051028,6052,6052,Csm Consulting Inc.,kfriends@csmcentral.com,Consortium,LA MIRADA,CA,80,Internet Access And/Or Telecommunications,Self-Provisioning,0
193,170061576,16500,16500,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Internal Connections,"Antennas, Connectors, And Related Components",0
194,170064914,14513,14513,Csm Consulting Inc.,kfriends@csmcentral.com,School District,STOCKTON,CA,85,Internal Connections,Switches,0
195,170060914,6292,6292,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SUSANVILLE,CA,85,Internal Connections,Wap,0
196,170061576,13750,13750,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Basic Maintenance Of Internal Connections,Wireless Controller,0
197,170064914,37024,37024,Csm Consulting Inc.,kfriends@csmcentral.com,School District,STOCKTON,CA,85,Basic Maintenance Of Internal Connections,Ups/Battery Backup,0
198,170054974,10866,10866,Csm Consulting Inc.,kfriends@csmcentral.com,School District,POMONA,CA,85,Internet Access And/Or Telecommunications,Lit Fiber Service,0
199,170064914,52716,52716,Csm Consulting Inc.,kfriends@csmcentral.com,School District,STOCKTON,CA,85,Internal Connections,Ups/Battery Backup,0
200,170058608,63860,60886,Csm Consulting Inc.,kfriends@csmcentral.com,School District,W SACRAMENTO,CA,80,Basic Maintenance Of Internal Connections,Ups/Battery Backup,2974
201,170081400,12653,12653,Funds For Learning,jharrington@fundsforlearning.com,Consortium,REDWOOD CITY,CA,84,Basic Maintenance Of Internal Connections,Firewall Service And Components,0
202,170058731,8100,8100,Csm Consulting Inc.,kfriends@csmcentral.com,School District,WINTERS,CA,80,Basic Maintenance Of Internal Connections,"Antennas, Connectors, And Related Components",0
203,170073367,2939,0,David Sonderegger,DWSONDE@COMCAST.NET,School District,MONTEREY,CA,80,Internal Connections,Switches,2939
204,170065593,14521,14521,Funds For Learning,jharrington@fundsforlearning.com,School District,OAKLAND,CA,85,Internal Connections,"Antennas, Connectors, And Related Components",0
205,170074621,7683,7683,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN FRANCISCO,CA,80,Internal Connections,Switches,0
206,170077049,46653,46650,Csm Consulting Inc.,kfriends@csmcentral.com,School District,HOLLISTER,CA,80,Basic Maintenance Of Internal Connections,"Antennas, Connectors, And Related Components",3
207,170064651,8657,8657,Csm Consulting Inc.,kfriends@csmcentral.com,School District,MODESTO,CA,80,Internal Connections,Ups/Battery Backup,0
208,170054974,33366,33366,Csm Consulting Inc.,kfriends@csmcentral.com,School District,POMONA,CA,85,Internal Connections,Switches,0
209,170064861,2815,0,Mattison Enterprises,loy@surewest.net,School District,ROSEVILLE,CA,50,Internal Connections,Cabling,2815
210,170065593,4468,4468,Funds For Learning,jharrington@fundsforlearning.com,School District,OAKLAND,CA,85,Internal Connections,Cabling,0
211,170065593,19757,0,Funds For Learning,jharrington@fundsforlearning.com,School District,OAKLAND,CA,85,Internal Connections,Cabling,19757
212,170054540,3123,3123,Csm Consulting Inc.,kfriends@csmcentral.com,School District,WOODLAND,CA,85,Internet Access And/Or Telecommunications,Lit Fiber Service,0
213,170060914,289,193,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SUSANVILLE,CA,85,Internal Connections,Wireless Controller,96
214,170066253,4035,0,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN JUAN CAPO,CA,50,Basic Maintenance Of Internal Connections,Firewall Service And Components,4035
215,170075348,75537,75537,Csm Consulting Inc.,kfriends@csmcentral.com,School District,REDDING,CA,80,Internal Connections,Switches,0
216,170064063,12767,12767,"Nvls Professional Services, Llc",nancyvls@nvls-erate.com,School District,SAN DIEGO,CA,80,Basic Maintenance Of Internal Connections,Caching,0
217,170066253,6726,0,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN JUAN CAPO,CA,50,Basic Maintenance Of Internal Connections,Switches,6726
218,170064914,31589,31589,Csm Consulting Inc.,kfriends@csmcentral.com,School District,STOCKTON,CA,85,Internal Connections,Ups/Battery Backup,0
219,170074621,8012,6596,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN FRANCISCO,CA,80,Basic Maintenance Of Internal Connections,"Antennas, Connectors, And Related Components",1416
220,170054974,43721,43721,Csm Consulting Inc.,kfriends@csmcentral.com,School District,POMONA,CA,85,Internal Connections,Cabling,0
221,170074618,542,422,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN FRANCISCO,CA,80,Internal Connections,Wap,120
222,170047995,48347,48347,Csm Consulting Inc.,kfriends@csmcentral.com,School District,PALM SPRINGS,CA,85,Internal Connections,Switches,0
223,170049302,223243,223243,E-Rate Online Llc,msagnella@erateportal.com,School District,PASO ROBLES,CA,80,Basic Maintenance Of Internal Connections,Firewall Service And Components,0
224,170066991,19791,19791,Csm Consulting Inc.,kfriends@csmcentral.com,School District,LAKE ELSINORE,CA,80,Internal Connections,Wap,0
225,170054913,52650,52650,Csm Consulting Inc.,kfriends@csmcentral.com,School District,WHITTIER,CA,90,Internet Access And/Or Telecommunications,Transport Only - No Isp Service Included,0
226,170066253,17007,0,Rdv Consulting Services,rick.delvalle@yahoo.com,School District,SAN JUAN CAPO,CA,50,Internal Connections,Firewall Service And Components,17007
227,170061576,4125,4125,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Internal Connections,Wireless Controller,0
228,170069647,94835,0,The Miller Institute For Learning With Technology (Dba Learningtech.Org),emiller@learningtech.org,School District,LOS ANGELES,CA,85,Internal Connections,Wireless Controller,94835
229,170049290,2408,0,E-Rate Online Llc,msagnella@erateportal.com,School District,SANGER,CA,80,Internal Connections,"Antennas, Connectors, And Related Components",2408
230,170064796,8975,8975,Csm Consulting Inc.,kfriends@csmcentral.com,School District,MONROVIA,CA,80,Internal Connections,Ups/Battery Backup,0
231,170074621,7683,7683,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN FRANCISCO,CA,80,Basic Maintenance Of Internal Connections,Switches,0
232,170064914,43522,43522,Csm Consulting Inc.,kfriends@csmcentral.com,School District,STOCKTON,CA,85,Internal Connections,Switches,0
233,170064914,31589,31589,Csm Consulting Inc.,kfriends@csmcentral.com,School District,STOCKTON,CA,85,Internal Connections,"Antennas, Connectors, And Related Components",0
234,170074618,17760,13111,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN FRANCISCO,CA,80,Internal Connections,Wap,4649
235,170061576,19250,19250,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Internal Connections,"Antennas, Connectors, And Related Components",0
236,170081400,12653,12653,Funds For Learning,jharrington@fundsforlearning.com,Consortium,REDWOOD CITY,CA,84,Basic Maintenance Of Internal Connections,Caching,0
237,170064063,29478,29478,"Nvls Professional Services, Llc",nancyvls@nvls-erate.com,School District,SAN DIEGO,CA,80,Basic Maintenance Of Internal Connections,Caching,0
238,170066634,538,0,"Nvls Professional Services, Llc",nancyvls@nvls-erate.com,School District,SAN MARCOS,CA,60,Basic Maintenance Of Internal Connections,Switches,538
239,170066253,17007,0,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN JUAN CAPO,CA,50,Internal Connections,Ups/Battery Backup,17007
240,170054726,27052,27052,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ADELANTO,CA,85,Managed Internal Broadband Services,Leased Equipment,0
241,170061576,656,656,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Internal Connections,Wap,0
242,170058608,93064,90638,Csm Consulting Inc.,kfriends@csmcentral.com,School District,W SACRAMENTO,CA,80,Basic Maintenance Of Internal Connections,Ups/Battery Backup,2426
243,170064796,63291,63291,Csm Consulting Inc.,kfriends@csmcentral.com,School District,MONROVIA,CA,80,Internal Connections,Switches,0
244,170057145,24119,20074,The Miller Institute For Learning With Technology (Dba Learningtech.Org),emiller@learningtech.org,School District,RICHMOND,CA,85,Internal Connections,"Antennas, Connectors, And Related Components",4045
245,170072577,133400,133142,Csm Consulting Inc.,kfriends@csmcentral.com,School District,PERRIS,CA,85,Basic Maintenance Of Internal Connections,Switches,258
246,170060899,82613,82613,Csm Consulting Inc.,kfriends@csmcentral.com,School District,LANCASTER,CA,85,Basic Maintenance Of Internal Connections,Router,0
247,170059275,53350,53350,Merced County Office Of Education,erate@mcoe.org,School District,MERCED,CA,90,Internal Connections,Switches,0
248,170069594,243722,243722,Infinity Communications & Consulting,fred.brakeman@infinitycomm.com,School District,STOCKTON,CA,80,Internet Access And/Or Telecommunications,Transport Only - No Isp Service Included,0
249,170066253,17007,0,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN JUAN CAPO,CA,50,Internal Connections,Wap,17007
250,170061077,75530,75530,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SOLEDAD,CA,85,Internal Connections,"Antennas, Connectors, And Related Components",0
251,170064063,14205,0,"Nvls Professional Services, Llc",nancyvls@nvls-erate.com,School District,SAN DIEGO,CA,80,Basic Maintenance Of Internal Connections,Router,14205
252,170048326,8432,0,The Miller Institute For Learning With Technology (Dba Learningtech.Org),emiller@learningtech.org,School District,TULARE,CA,85,Internal Connections,Cabling,8432
253,170059226,67689,69544,Infinity Communications & Consulting,fred.brakeman@infinitycomm.com,School District,PLACERVILLE,CA,50,Internet Access And/Or Telecommunications,Transport Only - No Isp Service Included,-1855
254,170066253,17007,0,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN JUAN CAPO,CA,50,Basic Maintenance Of Internal Connections,Wap,17007
255,170058874,7222,7222,Csm Consulting Inc.,kfriends@csmcentral.com,School District,PALO ALTO,CA,40,Basic Maintenance Of Internal Connections,Wireless Controller,0
256,170064063,12767,12767,"Nvls Professional Services, Llc",nancyvls@nvls-erate.com,School District,SAN DIEGO,CA,80,Basic Maintenance Of Internal Connections,Caching,0
257,170054726,87105,87105,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ADELANTO,CA,85,Managed Internal Broadband Services,Leased Equipment,0
258,170080148,21507,8644,"Sutherland Consulting Group, Inc. Dba Edtechnologyfunds, Inc.",bsutherland@edtechnologyfunds.com,Library System,DOWNEY,CA,85,Internal Connections,Switches,12863
259,170059275,100842,100842,Merced County Office Of Education,erate@mcoe.org,School District,MERCED,CA,90,Internet Access And/Or Telecommunications,"Voice Service (Analog, Digital, Interconnected Voip, Etc)",0
260,170049290,23770,23770,E-Rate Online Llc,msagnella@erateportal.com,School District,PASO ROBLES,CA,80,Basic Maintenance Of Internal Connections,Wap,0
261,170062206,90588,76506,Csm Consulting Inc.,kfriends@csmcentral.com,School District,LA QUINTA,CA,80,Internal Connections,Wap,14082
262,170060899,76800,76800,Csm Consulting Inc.,kfriends@csmcentral.com,School District,LANCASTER,CA,85,Internal Connections,Router,0
263,170049290,55993,55993,E-Rate Online Llc,msagnella@erateportal.com,School District,MODESTO,CA,80,Internal Connections,Cabling,0
264,170062014,17543,0,John M. Beem Jr.,jbeem@quinnesolutions.com,School District,FRESNO,CA,90,Internet Access And/Or Telecommunications,Cellular Voice,17543
265,170054814,8856,8856,Csm Consulting Inc.,kfriends@csmcentral.com,School District,TRACY,CA,50,Internal Connections,"Antennas, Connectors, And Related Components",0
266,170055879,6774,6774,Csm Consulting Inc.,kfriends@csmcentral.com,School District,MODESTO,CA,85,Basic Maintenance Of Internal Connections,"Antennas, Connectors, And Related Components",0
267,170061576,875,875,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Internal Connections,Cabling,0
268,170074621,7683,7683,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN FRANCISCO,CA,80,Internal Connections,"Antennas, Connectors, And Related Components",0
269,170060078,1433,1433,Csm Consulting Inc.,kfriends@csmcentral.com,School District,VICTORVILLE,CA,30,Internet Access And/Or Telecommunications,Lit Fiber Service,0
270,170056916,15993,8109,The Miller Institute For Learning With Technology (Dba Learningtech.Org),emiller@learningtech.org,Consortium,LOS ANGELES,CA,90,Internet Access And/Or Telecommunications,Internet Access And Transport Bundled,7884
271,170061576,13750,13750,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Internal Connections,"Antennas, Connectors, And Related Components",0
272,170064063,31397,26137,"Nvls Professional Services, Llc",nancyvls@nvls-erate.com,School District,SAN DIEGO,CA,80,Internet Access And/Or Telecommunications,"Voice Service (Analog, Digital, Interconnected Voip, Etc)",5260
273,170061576,11000,11000,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Internal Connections,Cabling,0
274,170066253,17007,0,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN JUAN CAPO,CA,50,Internal Connections,Wap,17007
275,170065593,7032,4866,Funds For Learning,jharrington@fundsforlearning.com,School District,OAKLAND,CA,85,Basic Maintenance Of Internal Connections,Firewall Service And Components,2166
276,170052386,8924,8924,Csm Consulting Inc.,kfriends@csmcentral.com,School District,TEMPLETON,CA,40,Managed Internal Broadband Services,Existing Equipment,0
277,170066253,17007,0,Rdv Consulting Services,rick.delvalle@yahoo.com,School District,SAN JUAN CAPO,CA,50,Internet Access And/Or Telecommunications,Internet Access And Transport Bundled,17007
278,170052240,48002,43555,Csm Consulting Inc.,kfriends@csmcentral.com,School District,LAWNDALE,CA,85,Basic Maintenance Of Internal Connections,Ups/Battery Backup,4447
279,170061658,12775,12775,"Agron Consulting, Llc",bagron7@gmail.com,School District,CONCORD,CA,60,Internal Connections,Wireless Controller,0
280,170064914,34609,34609,Csm Consulting Inc.,kfriends@csmcentral.com,School District,STOCKTON,CA,85,Basic Maintenance Of Internal Connections,Ups/Battery Backup,0
